Unnamed: 0.1,nflId,height,weight,birthDate,collegeName,Position,displayName,num_kickoffs,num_field_goals,meanKickoffDistance,maxKickoffDistance,meanKickoffHangtime,maxKickoffHantime,intendedDirectionRatio,touchbackRatio,OOBRatio,onsideRatio,onsideRecoveryRate,meanKickLength_hit,maxKickLength_hit,clutchKicksMade,meanKickLength_missed,maxKickLength_missed,shortestKickLength_missed,clutchKicksMissed
10,38134,6-0,190,1988-01-26,Oklahoma State,K,Dan Bailey,231,72,69.66331658291458,75.0,4.054522613065327,4.47,1.0,0.7487437185929648,0.0,0.0346320346320346,0.0,35.40677966101695,53.0,0.0,45.41666666666666,56.0,28.0,0
11,45046,6-4,205,1995-07-14,Georgia Tech,K,Harrison Butker,290,85,70.28252788104089,88.0,4.142118959107807,4.75,1.0,0.7360594795539034,0.0,0.0068965517241379,0.0,34.98701298701299,58.0,3.0,46.142857142857146,53.0,36.0,1
12,46342,5-10,183,1995-07-28,Miami,K,Michael Badgley,68,62,63.36206896551724,75.0,3.821206896551724,4.36,1.0,0.1724137931034483,0.0,0.0,,36.12244897959184,59.0,2.0,48.16666666666666,55.0,40.0,2
13,48488,5-11,187,1996-04-09,Illinois,K,Chase McLaughlin,21,23,70.3125,75.0,3.890625,4.18,1.0,0.4375,0.0,0.0952380952380952,0.0,37.05555555555556,52.0,1.0,48.5,62.0,42.0,1
14,32371,6-1,222,1984-11-05,Arizona,K,Nick Folk,4,42,61.0,62.0,3.735,3.75,1.0,0.0,0.0,0.0,,35.89473684210526,51.0,2.0,48.333333333333336,51.0,46.0,0
15,38701,6-0,191,1987-12-27,Missouri Western,K,Greg Zuerlein,240,93,70.93170731707318,75.0,3.9854634146341454,4.47,1.0,0.8439024390243902,0.0,0.0083333333333333,0.5,37.47368421052632,59.0,4.0,48.8125,60.0,40.0,1
16,35102,6-2,202,1987-04-09,Florida State,K,Graham Gano,132,45,69.51754385964912,75.0,4.065,4.67,1.0,0.6666666666666666,0.0,0.0303030303030303,0.0,39.35714285714285,63.0,1.0,47.66666666666666,57.0,34.0,1
17,40125,6-2,203,1990-10-01,Florida State,K,Dustin Hopkins,209,86,71.86263736263736,77.0,4.0502747252747255,4.56,1.0,0.8901098901098901,0.0,0.0334928229665071,0.0,37.87671232876713,56.0,5.0,46.333333333333336,63.0,29.0,1
18,44966,5-9,167,1995-01-21,Memphis,K,Jake Elliott,230,66,70.055,75.0,3.9777,4.43,0.9869565217391304,0.75,0.0,0.0260869565217391,0.0,36.0925925925926,56.0,3.0,47.91666666666666,57.0,22.0,0
19,45576,5-10,195,1994-08-03,Georgia Southern,K,Younghoe Koo,111,57,67.65263157894736,75.0,3.950315789473684,4.33,0.990990990990991,0.5578947368421052,0.0,0.045045045045045,0.6,36.30769230769231,54.0,1.0,41.8,48.0,38.0,1
20,34707,6-2,218,1986-09-19,South Carolina,K,Ryan Succop,87,62,68.775,75.0,3.930625,4.52,1.0,0.5875,0.0,0.0344827586206896,0.0,34.76923076923077,54.0,1.0,42.375,48.0,28.0,0
21,40276,6-3,201,1991-07-25,Temple,K,Brandon McManus,211,84,71.57591623036649,75.0,4.029581151832461,4.51,1.0,0.7696335078534031,0.0,0.0331753554502369,0.0,39.0,58.0,3.0,53.6,64.0,37.0,1
22,46236,6-5,215,1995-01-23,Auburn,K,Daniel Carlson,215,77,68.81313131313131,75.0,4.087070707070708,4.49,0.9906976744186048,0.6212121212121212,0.0,0.0186046511627906,0.0,34.125,54.0,2.0,44.53846153846154,53.0,35.0,0
23,52656,5-8,205,1997-09-19,"Miami, O.",K,Sam Sloman,44,10,67.4047619047619,75.0,3.904047619047619,4.19,0.9772727272727272,0.5714285714285714,0.0,0.0,,34.5,47.0,1.0,29.0,29.0,29.0,0
24,43846,6-0,183,1994-01-29,UCLA,K,Ka'imi Fairbairn,256,96,68.58995815899581,75.0,4.09,4.43,0.99609375,0.6317991631799164,0.0,0.01171875,0.6666666666666666,36.44444444444444,54.0,2.0,49.61538461538461,59.0,41.0,1
25,52751,6-1,191,1997-01-29,Georgia,K,Rodrigo Blankenship,20,36,68.10526315789474,75.0,4.074210526315789,4.21,1.0,0.6842105263157895,0.0,0.0,,34.16129032258065,53.0,0.0,45.2,56.0,30.0,0
26,43937,6-3,221,1994-12-30,Southern Oregon,K,Aldrick Rosas,175,52,69.25316455696202,75.0,4.096075949367088,4.62,0.9942857142857144,0.7278481012658228,0.0057142857142857,0.0228571428571428,0.25,34.53333333333333,57.0,0.0,47.0,54.0,37.0,0
27,47928,6-0,232,1994-03-15,Utah,K,Matt Gay,36,44,71.64516129032258,75.0,3.8367741935483872,4.27,1.0,0.9032258064516128,0.0,0.0277777777777777,0.0,39.08571428571429,58.0,1.0,43.25,54.0,34.0,1
28,29874,5-10,190,1982-03-02,Ohio State,K,Mike Nugent,33,21,66.03125,75.0,3.9071875,4.25,1.0,0.28125,0.0,0.0303030303030303,0.0,34.23529411764706,52.0,0.0,37.0,40.0,34.0,0
29,41175,5-10,190,1991-05-12,Marist,K,Jason Myers,255,80,69.71794871794872,75.0,3.988974358974359,4.44,0.992156862745098,0.7222222222222222,0.0,0.0,,38.78082191780822,61.0,2.0,45.42857142857143,58.0,30.0,1
30,30403,6-0,190,1982-12-06,Penn State,K,Robbie Gould,17,79,66.5,72.0,3.93,4.0,0.9411764705882352,0.1666666666666666,0.0,0.2941176470588235,0.0,35.18181818181818,53.0,4.0,47.54545454545455,57.0,37.0,0
31,44240,6-1,192,1992-12-14,Penn State,K,Sam Ficken,104,39,68.34782608695652,75.0,4.0885869565217385,4.53,1.0,0.6195652173913043,0.0,0.0384615384615384,0.0,37.56666666666667,54.0,1.0,45.875,55.0,28.0,0
32,30932,6-1,215,1984-01-28,Memphis,K,Stephen Gostkowski,201,65,69.19553072625699,80.0,3.9721229050279327,4.52,0.9850746268656716,0.664804469273743,0.0,0.0099502487562189,0.0,36.90196078431372,55.0,4.0,46.833333333333336,54.0,37.0,1
33,41953,6-2,185,1991-03-16,Rice,K,Chris Boswell,222,63,68.54773869346734,75.0,4.0297989949748745,4.43,1.0,0.6130653266331658,0.0,0.0,,35.127272727272725,59.0,1.0,42.57142857142857,54.0,32.0,1
34,38691,5-9,210,1989-12-16,Texas A&M,K,Randy Bullock,205,77,69.73142857142857,75.0,3.9370285714285713,4.42,0.9804878048780488,0.7657142857142857,0.0,0.0292682926829268,0.1666666666666666,37.65151515151515,57.0,1.0,47.90909090909091,58.0,31.0,1
35,45037,6-0,202,1995-05-07,Arizona State,K,Zane Gonzalez,173,64,69.05555555555556,75.0,3.994876543209876,4.35,0.9884393063583816,0.5987654320987654,0.0,0.0057803468208092,0.0,35.98,56.0,3.0,47.75,54.0,37.0,3
36,38220,5-11,197,1987-09-02,UCLA,K,Kai Forbath,32,18,68.04347826086956,75.0,3.8713043478260873,4.23,1.0,0.8260869565217391,0.0,0.0,,35.75,50.0,0.0,52.0,56.0,48.0,0
37,43068,6-0,215,1990-11-19,Texas A&M,K,Josh Lambo,99,57,70.36708860759494,75.0,3.8797468354430378,4.46,1.0,0.7721518987341772,0.0,0.0707070707070707,0.1428571428571428,37.27777777777778,59.0,1.0,46.66666666666666,52.0,42.0,0
38,43902,5-10,202,1992-12-07,Louisville,K,Jon Brown,1,2,,,,,1.0,,0.0,1.0,0.0,31.0,31.0,0.0,32.0,32.0,32.0,0
39,33469,76,210,1985-06-29,North Carolina State,K,Stephen Hauschka,139,55,69.05172413793103,90.0,3.846206896551725,4.51,1.0,0.6206896551724138,0.0,0.0287769784172661,0.0,37.95348837209303,54.0,2.0,46.90909090909091,62.0,24.0,1
40,46634,6-0,210,1994-08-04,Florida Atlantic,K,Greg Joseph,80,19,69.94444444444444,75.0,4.022222222222222,4.38,0.9875,0.7361111111111112,0.0,0.0125,0.0,35.75,51.0,0.0,47.333333333333336,55.0,41.0,1
41,46426,5-11,178,1995-09-13,Florida,K,Eddy Pineiro,51,24,69.04651162790698,75.0,4.106279069767441,4.48,1.0,0.5813953488372093,0.0,0.0392156862745098,0.5,33.35,53.0,2.0,41.5,48.0,33.0,1
42,40775,6-1,185,1989-11-21,Nebraska,K,Brett Maher,143,62,70.03846153846153,75.0,3.961076923076924,4.4,1.0,0.6538461538461539,0.0,0.0279720279720279,0.0,36.5531914893617,63.0,2.0,45.61538461538461,57.0,33.0,1
43,27091,5-9,203,05/29/1975,Baylor,K,Matt Bryant,5,34,59.75,62.0,3.77,3.94,1.0,0.0,0.0,0.0,,39.892857142857146,57.0,1.0,48.16666666666666,53.0,32.0,0
44,41736,75,200,1991-02-26,Clemson,K,Chandler Catanzaro,65,19,71.44262295081967,75.0,4.038524590163934,4.49,0.953846153846154,0.8524590163934426,0.0,0.0,,35.0,59.0,0.0,40.5,48.0,30.0,1
45,46663,5-10,165,1994-09-08,Kansas State,K,Matthew McCrane,21,11,63.8,75.0,3.7665,4.06,1.0,0.25,0.0,0.0476190476190476,0.0,36.25,47.0,1.0,50.66666666666666,57.0,47.0,0
46,25326,6-1,258,03/02/1978,Florida State,K,Sebastian Janikowski,68,24,69.22033898305085,75.0,4.015593220338983,4.91,0.9852941176470588,0.6101694915254238,0.0,0.0147058823529411,0.0,39.5,56.0,3.0,44.25,52.0,36.0,0
47,23860,5-11,200,01/23/1975,Texas,K,Phil Dawson,32,8,67.85185185185185,75.0,3.9714814814814816,4.21,1.0,0.5185185185185185,0.0,0.0,,30.6,43.0,0.0,47.0,50.0,45.0,1
48,40114,5-9,192,08/09/1989,Florida,K,Caleb Sturgis,28,10,67.5,75.0,3.7910714285714286,4.07,1.0,0.5,0.0,0.0,,31.857142857142858,49.0,0.0,48.0,54.0,42.0,0
