Unnamed: 0.1,nflId,height,weight,birthDate,collegeName,Position,displayName,num_punts,normalPuntRatio,caughtRatio,groundRatio,kickTeamTouchedFirstRatio,outOfBoundsRatio,outOfEZRatio,intendedDirectionRatio,meanHangTime,maxHangTime
28,29141,6-1,185,1982-08-11,Pittsburgh,P,Andy Lee,207.0,0.7864077669902912,0.6796116504854369,0.0728155339805825,0.0048543689320388,0.0436893203883495,0.0145631067961165,0.9854368932038836,4.302087378640777,5.09
29,38815,6-5,241,1990-02-08,Oregon State,P,Johnny Hekker,175.0,0.7225433526011561,0.5317919075144508,0.0982658959537572,0.0057803468208092,0.0520231213872832,0.0057803468208092,0.9653179190751444,4.319011627906977,5.15
30,47893,6-2,220,1992-03-02,Utah,P,Mitch Wishnowsky,109.0,0.5321100917431193,0.6697247706422018,0.1009174311926605,0.0091743119266055,0.018348623853211,0.0,0.9541284403669724,4.367614678899082,4.88
31,46218,6-2,208,1996-01-04,Texas,P,Michael Dickson,195.0,0.6649484536082474,0.6185567010309279,0.0773195876288659,0.0103092783505154,0.0824742268041237,0.0154639175257731,0.979381443298969,4.310777202072539,5.17
32,31018,6-1,222,1982-08-13,Nebraska,P,Sam Koch,152.0,0.4666666666666667,0.62,0.0866666666666666,0.0066666666666666,0.08,0.0066666666666666,0.96,4.2649333333333335,4.94
33,29926,6-3,210,1982-05-06,Tennessee,P,Dustin Colquitt,104.0,0.7087378640776699,0.6407766990291263,0.116504854368932,0.0194174757281553,0.0097087378640776,0.0097087378640776,0.9611650485436892,4.361553398058253,5.16
34,40437,6-2,220,1990-02-28,Louisiana Tech,P,Ryan Allen,104.0,0.6538461538461539,0.5096153846153846,0.1346153846153846,0.0288461538461538,0.0576923076923076,0.0384615384615384,0.971153846153846,4.021634615384615,5.27
35,46810,6-1,231,12/08/1994,Tennessee,P,Trevor Daniel,87.0,0.7093023255813954,0.6627906976744186,0.0697674418604651,0.0116279069767441,0.0581395348837209,0.0116279069767441,0.9651162790697676,4.201976744186046,5.03
36,38138,6-0,205,1989-07-21,Carson-Newman,P,Chris Jones,127.0,0.8492063492063492,0.6746031746031746,0.1111111111111111,0.0,0.0158730158730158,0.0,0.9444444444444444,4.458015873015873,5.11
37,43524,6-4,209,1992-04-27,Sam Houston State,P,Lachlan Edwards,164.0,0.6280487804878049,0.5792682926829268,0.1158536585365853,0.0121951219512195,0.073170731707317,0.0060975609756097,0.9390243902439024,4.1657926829268295,4.97
38,42098,5-11,200,1992-07-06,Tennessee,P,Michael Palardy,127.0,0.8346456692913385,0.6692913385826772,0.0787401574803149,0.0314960629921259,0.0314960629921259,0.0157480314960629,0.9606299212598424,4.389365079365079,5.11
39,45986,6-1,213,04/19/1995,California-Davis,P,Colby Wadman,133.0,0.4135338345864661,0.556390977443609,0.0827067669172932,0.0150375939849624,0.0977443609022556,0.0150375939849624,0.9849624060150376,4.326616541353383,5.29
40,42133,6-1,205,09/26/1991,Wofford,P,Kasey Redfern,9.0,0.8888888888888888,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,1.0,4.408888888888889,4.91
41,46790,6-5,217,1994-04-30,Pittsburgh,P,Ryan Winslow,6.0,0.8333333333333334,0.6666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,4.146666666666667,4.57
42,42907,6-2,225,06/20/1992,Michigan,P,Matt Wile,69.0,0.8823529411764706,0.6176470588235294,0.0588235294117647,0.0,0.0441176470588235,0.0147058823529411,0.9558823529411764,4.406029411764706,5.35
43,37267,72,208,1987-10-18,Miami (Fla.),P,Matt Bosher,71.0,0.7647058823529411,0.75,0.0588235294117647,0.0,0.0,0.0,0.8823529411764706,4.478529411764706,5.3
44,42747,6-1,217,07/02/1992,Tennessee,P,Matt Darr,20.0,0.9,0.6,0.05,0.05,0.0,0.0,0.8,3.9615,5.03
45,29177,6-2,221,07/05/1980,LSU,P,Donnie Jones,44.0,0.6818181818181818,0.6363636363636364,0.0909090909090909,0.0,0.0,0.0,0.9772727272727272,4.174090909090909,4.94
46,40946,5-11,224,10/27/1990,California-Davis,P,Colton Schmidt,16.0,0.875,0.5625,0.0625,0.0,0.0625,0.0,1.0,3.69875,4.69
47,43468,6-2,206,02/11/1993,Texas A&M,P,Drew Kaser,12.0,0.8181818181818182,0.5454545454545454,0.1818181818181818,0.0,0.0,0.0,0.7272727272727273,4.177272727272727,4.69
48,39113,6-0,195,10/26/1988,Fort Valley State,P,Marquette King,14.0,0.7857142857142857,0.5,0.2142857142857142,0.0714285714285714,0.0,0.0,1.0,3.917857142857143,4.79
